Element,Symbol,Group,Acidity,State,Atomic Number,Atomic Weight,Valency,Octet,Density,Melting_Point,Boiling_Point,Electron_Configuration,Color,Electrical_Type
Actinium,Ac,f,neutral,solid,89,227,3,2,10070,1323.15,3473.15,[Ne]3s23p2,Silver,
Thorium,Th,f,neutral,solid,90,232.04,4,2,11724,2023.15,5093.15,[Xe]4f145d46s2,Silver,Conductor
Protactinium,Pa,f,neutral,solid,91,231.04,5,2,15370,1845.15,4273.15,[Ne]3s23p5,Silver,Conductor
Uranium,U,f,neutral,solid,92,238.03,6,2,19050,1408.15,4200.15,[Xe]4f145d76s2,Silver,Conductor
Neptunium,Np,f,neutral,solid,93,237,7,2,20450,917.15,4273.15,[Ar]4s2,Silver,Conductor
Plutonium,Pu,f,neutral,solid,94,244,6,2,19816,913.15,3503.15,[Xe]4f145d106s2,Silver,Conductor
Americium,Am,f,neutral,solid,95,243,5,2,,1449.15,2284.15,[Ar]3d34s2,Silver,
Curium,Cm,f,neutral,solid,96,247,6,2,13510,1618.15,3383.15,[Xe]4f145d106s26p3,Silver,
Berkelium,Bk,f,neutral,solid,97,247,3,2,14780,1323.15,,[Ar]3d64s2,,
Californium,Cf,f,neutral,solid,98,251,3,2,15100,1173.15,,[Xe]4f145d106s26p6,,
Einsteinium,Es,f,neutral,solid,99,252,3,2,,1133.15,,[Ar]3d104s1,,
,,,,,,,,,,1800.15,,[Rn]6d17s2,,
,,,,,,,,,,1100.15,,[Ar]3d104s24p2,,
,,,,,,,,,,1100.15,,[Rn]5f36d17s2,,
,,,,,,,,,,1900.15,,[Ar]3d104s24p5,,
,,,,,,,,,,,,[Rn]5f77s2,,
,,,,,,,,,,,,[Kr]5s2,,
,,,,,,,,,,,,[Rn]5f107s2,,
,,,,,,,,,,,,[Kr]4d45s1,,
,,,,,,,,,,,,[Rn]5f137s2,,
,,,,,,,,,,,,[Kr]4d75s1,,
,,,,,,,,,,,,[Rn]5f146d27s2,,
,,,,,,,,,,,,[Kr]4d105s1,,
,,,,,,,,,,,,[Rn]5f146d57s2,,
,,,,,,,,,,,,[Kr]4d105s25p2,,
,,,,,,,,,,,,[Rn]5f146d97s1,,
,,,,,,,,,,,,[Kr]4d105s25p5,,
,,,,,,,,,,,,[Rn]5f146d107s27p1,,
,,,,,,,,,,,,[Xe]6s2,,
,,,,,,,,,,,,[Rn]5f146d107s27p4,,
